,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.std_score_time,metrics.mean_score_time,metrics.mean_test_score,metrics.std_test_score,metrics.mean_fit_time,metrics.rank_test_score,metrics.std_fit_time,metrics.best_cv_score,metrics.training_mse,metrics.training_r2_score,metrics.training_rmse,metrics.training_mae,metrics.training_score,metrics.mean_absolute_error_X_test,metrics.mean_squared_error-2_X_test,metrics.mean_squared_error_X_test,params.min_impurity_decrease,params.max_features,params.max_leaf_nodes,params.n_estimators,params.criterion,params.min_samples_split,params.max_samples,params.n_jobs,params.oob_score,params.max_depth,params.min_weight_fraction_leaf,params.warm_start,params.verbose,params.bootstrap,params.random_state,params.min_impurity_split,params.min_samples_leaf,params.ccp_alpha,params.pre_dispatch,params.best_min_samples_split,params.best_max_features,params.param_distributions,params.best_n_estimators,params.best_min_samples_leaf,params.cv,params.error_score,params.return_train_score,params.scoring,params.refit,params.best_max_depth,params.estimator,params.n_iter,tags.mlflow.source.type,tags.mlflow.source.name,tags.estimator_name,tags.mlflow.user,tags.mlflow.autologging,tags.mlflow.parentRunId,tags.estimator_class,tags.mlflow.log-model.history
0,054f8dea72104c1c84fa1b3f2d4c5a87,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/054f8dea72104c1c84fa1b3f2d4c5a87/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.021076987406947034,0.19324831962585448,-4.31530890827045,3.2312908833152094,1.1164522171020508,2.0,0.16237956860018185,,,,,,,,,,0.0,auto,None,700,mse,15,None,None,False,20,0.0,False,0,True,None,None,1,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
1,24c07d7499334d5997463b9ff986cf53,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/24c07d7499334d5997463b9ff986cf53/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.01949571627754873,0.2701732635498047,-3.9528419525536114,4.922676020769371,1.5673875331878662,1.0,0.0988111609202032,,,,,,,,,,0.0,sqrt,None,1000,mse,2,None,None,False,25,0.0,False,0,True,None,None,1,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
2,64b271cb00d84512b26daf9bb7c13d68,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/64b271cb00d84512b26daf9bb7c13d68/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:39.101000+00:00,,,,,,,,-3.9528419525536114,0.485159177635117,0.9796259829068803,0.6965336873655983,0.27560526190476153,-0.485159177635117,,,,,,,,,,,1,,,,,2,,42,,,,2*n_jobs,2,sqrt,"{'n_estimators': [100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200], 'max_features': ['auto', 'sqrt'], 'max_depth': [5, 10, 15, 20, 25, 30], 'min_samples_split': [2, 5, 10, 15, 100], 'min_samples_leaf': [1, 2, 5, 10]}",1000,1,5,nan,False,neg_mean_squared_error,True,25,RandomForestRegressor(),10,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomizedSearchCV,Sathishkumar.Paranth,,,sklearn.model_selection._search.RandomizedSearchCV,"[{""run_id"": ""64b271cb00d84512b26daf9bb7c13d68"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-02-15 12:22:23.316041"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.8"", ""env"": ""conda.yaml""}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""0.24.1"", ""serialization_format"": ""cloudpickle""}}, ""model_uuid"": ""436a279fa0de4dbc9cf6336a952af6cb"", ""signature"": {""inputs"": ""[{\""name\"": \""Present_Price\"", \""type\"": \""double\""}, {\""name\"": \""Kms_Driven\"", \""type\"": \""long\""}, {\""name\"": \""Owner\"", \""type\"": \""long\""}, {\""name\"": \""no_year\"", \""type\"": \""long\""}, {\""name\"": \""Fuel_Type_Diesel\"", \""type\"": \""integer\""}, {\""name\"": \""Fuel_Type_Petrol\"", \""type\"": \""integer\""}, {\""name\"": \""Seller_Type_Individual\"", \""type\"": \""integer\""}, {\""name\"": \""Transmission_Manual\"", \""type\"": \""integer\""}]"", ""outputs"": ""[{\""type\"": \""tensor\"", \""tensor-spec\"": {\""dtype\"": \""float64\"", \""shape\"": [-1]}}]""}}, {""run_id"": ""64b271cb00d84512b26daf9bb7c13d68"", ""artifact_path"": ""best_estimator"", ""utc_time_created"": ""2022-02-15 12:22:32.865062"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.8"", ""env"": ""conda.yaml""}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""0.24.1"", ""serialization_format"": ""cloudpickle""}}, ""model_uuid"": ""e42dd64fa1f843e882ea978aa60c75b0"", ""signature"": {""inputs"": ""[{\""name\"": \""Present_Price\"", \""type\"": \""double\""}, {\""name\"": \""Kms_Driven\"", \""type\"": \""long\""}, {\""name\"": \""Owner\"", \""type\"": \""long\""}, {\""name\"": \""no_year\"", \""type\"": \""long\""}, {\""name\"": \""Fuel_Type_Diesel\"", \""type\"": \""integer\""}, {\""name\"": \""Fuel_Type_Petrol\"", \""type\"": \""integer\""}, {\""name\"": \""Seller_Type_Individual\"", \""type\"": \""integer\""}, {\""name\"": \""Transmission_Manual\"", \""type\"": \""integer\""}]"", ""outputs"": ""[{\""type\"": \""tensor\"", \""tensor-spec\"": {\""dtype\"": \""float64\"", \""shape\"": [-1]}}]""}}]"
3,710067562daf4c9daaca9f31b7d2b495,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/710067562daf4c9daaca9f31b7d2b495/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.03428649967485764,0.29586544036865237,-5.185642841992454,5.484973559468395,1.4922723770141602,4.0,0.06584817245346533,,,,,,,,,,0.0,sqrt,None,1100,mse,10,None,None,False,15,0.0,False,0,True,None,None,2,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
4,a72bcb45e51f4f11b0f6d411f7e178db,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/a72bcb45e51f4f11b0f6d411f7e178db/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.026801264870289273,0.10626392364501953,-5.0202009905248435,4.7193039501896275,0.6323886394500733,3.0,0.051785538752728774,,,,,,,,,,0.0,auto,None,400,mse,5,None,None,False,15,0.0,False,0,True,None,None,5,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
5,b8cabb5ecf9e4ca3ab2781283d2872e8,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/b8cabb5ecf9e4ca3ab2781283d2872e8/artifacts,2022-02-15 12:21:15.792000+00:00,2022-02-15 12:22:38.285000+00:00,0.016794199979148904,0.19160375595092774,-5.382493750171146,5.538043252190018,0.9888602256774902,5.0,0.0830798796479987,,,,,,,,,,0.0,sqrt,None,700,mse,10,None,None,False,5,0.0,False,0,True,None,None,2,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,64b271cb00d84512b26daf9bb7c13d68,sklearn.ensemble._forest.RandomForestRegressor,
6,dfdbce0131194280b24bcb9bd4360680,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/dfdbce0131194280b24bcb9bd4360680/artifacts,2022-02-15 12:06:04.252000+00:00,2022-02-15 12:06:04.354000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\Desktop\Car-Price-prediction-main\app.py,,Sathishkumar.Paranth,,,,
7,e51c72848d47470ab2b1447f19ae4849,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/e51c72848d47470ab2b1447f19ae4849/artifacts,2022-02-15 12:05:22.671000+00:00,2022-02-15 12:05:22.761000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\Desktop\Car-Price-prediction-main\app.py,,Sathishkumar.Paranth,,,,
8,2da369056aa14dd79c8626e95385b795,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/2da369056aa14dd79c8626e95385b795/artifacts,2022-02-15 12:05:17.456000+00:00,2022-02-15 12:05:17.538000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,app.py,,Sathishkumar.Paranth,,,,
9,c928125f1d2c4d2f9634042f9a77a284,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/c928125f1d2c4d2f9634042f9a77a284/artifacts,2022-02-15 12:04:57.131000+00:00,2022-02-15 12:04:57.249000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,app.py,,Sathishkumar.Paranth,,,,
10,915aa30e9af141df9ed663993c6303d4,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/915aa30e9af141df9ed663993c6303d4/artifacts,2022-02-15 12:01:36.189000+00:00,2022-02-15 12:01:36.309000+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCAL,app.py,,Sathishkumar.Paranth,,,,
11,01a5f62109f84a959de3d235e2bd86e4,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/01a5f62109f84a959de3d235e2bd86e4/artifacts,2022-02-15 11:44:01.974000+00:00,2022-02-15 11:45:36.598000+00:00,0.036575428032003976,0.11251306533813477,-5.047953525733763,4.753672346051651,0.6617315769195556,3.0,0.07218512394776054,,,,,,,,,,0.0,auto,None,400,mse,5,None,None,False,15,0.0,False,0,True,None,None,5,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,1ee12aa6d5bc4a429e76afd36a00f5e2,sklearn.ensemble._forest.RandomForestRegressor,
12,1ee12aa6d5bc4a429e76afd36a00f5e2,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/1ee12aa6d5bc4a429e76afd36a00f5e2/artifacts,2022-02-15 11:44:01.974000+00:00,2022-02-15 12:02:26.162000+00:00,,,,,,,,-4.0592046559114445,0.5315712889538067,0.9776769294973497,0.7290893559460367,0.2749486190476206,-0.5315712889538067,0.8831632967032957,3.9337998658351636,3.9337998658351636,,,,,,,,1,,,,,2,,42,,,,2*n_jobs,2,sqrt,"{'n_estimators': [100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200], 'max_features': ['auto', 'sqrt'], 'max_depth': [5, 10, 15, 20, 25, 30], 'min_samples_split': [2, 5, 10, 15, 100], 'min_samples_leaf': [1, 2, 5, 10]}",1000,1,5,nan,False,neg_mean_squared_error,True,25,RandomForestRegressor(),10,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomizedSearchCV,Sathishkumar.Paranth,,,sklearn.model_selection._search.RandomizedSearchCV,"[{""run_id"": ""1ee12aa6d5bc4a429e76afd36a00f5e2"", ""artifact_path"": ""model"", ""utc_time_created"": ""2022-02-15 11:45:21.363237"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.8"", ""env"": ""conda.yaml""}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""0.24.1"", ""serialization_format"": ""cloudpickle""}}, ""model_uuid"": ""80e566f8c70a4f3da97f2c9c2ef13274"", ""signature"": {""inputs"": ""[{\""name\"": \""Present_Price\"", \""type\"": \""double\""}, {\""name\"": \""Kms_Driven\"", \""type\"": \""long\""}, {\""name\"": \""Owner\"", \""type\"": \""long\""}, {\""name\"": \""no_year\"", \""type\"": \""long\""}, {\""name\"": \""Fuel_Type_Diesel\"", \""type\"": \""integer\""}, {\""name\"": \""Fuel_Type_Petrol\"", \""type\"": \""integer\""}, {\""name\"": \""Seller_Type_Individual\"", \""type\"": \""integer\""}, {\""name\"": \""Transmission_Manual\"", \""type\"": \""integer\""}]"", ""outputs"": ""[{\""type\"": \""tensor\"", \""tensor-spec\"": {\""dtype\"": \""float64\"", \""shape\"": [-1]}}]""}}, {""run_id"": ""1ee12aa6d5bc4a429e76afd36a00f5e2"", ""artifact_path"": ""best_estimator"", ""utc_time_created"": ""2022-02-15 11:45:29.426575"", ""flavors"": {""python_function"": {""model_path"": ""model.pkl"", ""loader_module"": ""mlflow.sklearn"", ""python_version"": ""3.8.8"", ""env"": ""conda.yaml""}, ""sklearn"": {""pickled_model"": ""model.pkl"", ""sklearn_version"": ""0.24.1"", ""serialization_format"": ""cloudpickle""}}, ""model_uuid"": ""a6f32b8b355240d18bcc88e35daafda0"", ""signature"": {""inputs"": ""[{\""name\"": \""Present_Price\"", \""type\"": \""double\""}, {\""name\"": \""Kms_Driven\"", \""type\"": \""long\""}, {\""name\"": \""Owner\"", \""type\"": \""long\""}, {\""name\"": \""no_year\"", \""type\"": \""long\""}, {\""name\"": \""Fuel_Type_Diesel\"", \""type\"": \""integer\""}, {\""name\"": \""Fuel_Type_Petrol\"", \""type\"": \""integer\""}, {\""name\"": \""Seller_Type_Individual\"", \""type\"": \""integer\""}, {\""name\"": \""Transmission_Manual\"", \""type\"": \""integer\""}]"", ""outputs"": ""[{\""type\"": \""tensor\"", \""tensor-spec\"": {\""dtype\"": \""float64\"", \""shape\"": [-1]}}]""}}]"
13,2fab63593bf24afb8e4e5eb96f805b1b,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/2fab63593bf24afb8e4e5eb96f805b1b/artifacts,2022-02-15 11:44:01.974000+00:00,2022-02-15 11:45:36.598000+00:00,0.03258397102624055,0.297443151473999,-4.0592046559114445,5.086020720237949,1.5936498165130615,1.0,0.0980319686870364,,,,,,,,,,0.0,sqrt,None,1000,mse,2,None,None,False,25,0.0,False,0,True,None,None,1,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,1ee12aa6d5bc4a429e76afd36a00f5e2,sklearn.ensemble._forest.RandomForestRegressor,
14,69e067cb478848fbafe101db794f2e1c,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/69e067cb478848fbafe101db794f2e1c/artifacts,2022-02-15 11:44:01.974000+00:00,2022-02-15 11:45:36.598000+00:00,0.03638279966974268,0.19342317581176757,-4.413159639059346,3.2892906251491527,1.0701703071594237,2.0,0.046123941508085166,,,,,,,,,,0.0,auto,None,700,mse,15,None,None,False,20,0.0,False,0,True,None,None,1,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,1ee12aa6d5bc4a429e76afd36a00f5e2,sklearn.ensemble._forest.RandomForestRegressor,
15,cc783bc1bb08459d908efb7db2b3f4b6,0,FINISHED,file:///C:/Users/Sathishkumar.paranth/Desktop/Car-Price-prediction-main/mlruns/0/cc783bc1bb08459d908efb7db2b3f4b6/artifacts,2022-02-15 11:44:01.974000+00:00,2022-02-15 11:45:36.598000+00:00,0.033404369417681094,0.3036206722259521,-5.267264389638376,5.565160672395167,1.7069658279418944,4.0,0.25860773165026424,,,,,,,,,,0.0,sqrt,None,1100,mse,10,None,None,False,15,0.0,False,0,True,None,None,2,0.0,,,,,,,,,,,,,,,LOCAL,C:\Users\Sathishkumar.paranth\AppData\Roaming\Python\Python38\site-packages\ipykernel_launcher.py,RandomForestRegressor,Sathishkumar.Paranth,sklearn,1ee12aa6d5bc4a429e76afd36a00f5e2,sklearn.ensemble._forest.RandomForestRegressor,
